     index,         t,         z,   z_aimed
        56,       5.6,   -0.3998,   -0.4000
       276,      27.6,   -0.3004,   -0.3000
       408,      40.8,   -0.2002,   -0.2000
       700,      70.0,   -0.1001,   -0.1000
       852,      85.2,   -0.0000,   -0.0000
      1101,     110.1,    0.0999,    0.1000
      1366,     136.6,    0.2000,    0.2000
      1420,     142.0,    0.2996,    0.3000
      1738,     173.8,    0.3999,    0.4000
      1808,     180.8,    0.4997,    0.5000
      1980,     198.0,    0.6000,    0.6000
      1994,     199.4,    0.7001,    0.7000
      2364,     236.4,    0.8000,    0.8000
      2543,     254.3,    0.9003,    0.9000
      2743,     274.3,    1.0000,    1.0000
      2806,     280.6,    1.1002,    1.1000
      3171,     317.1,    1.1996,    1.2000
      3344,     334.4,    1.3000,    1.3000
      3650,     365.0,    1.3998,    1.4000
      3736,     373.6,    1.5001,    1.5000
      4117,     411.7,    1.6001,    1.6000
      4239,     423.9,    1.7001,    1.7000
      4553,     455.3,    1.8005,    1.8000
      4718,     471.8,    1.8999,    1.9000
      4985,     498.5,    1.9998,    2.0000
